portNo,portName
11319,Sanak
11320,Akutan Harbor
11321,Cannery Bay
11322,Makushin
11323,Dutch Harbor
11324,Unalaska
11325,Palisades Point
11326,Adak Naval Air Station
11327,Constantine Harbor
11328,Kiska
11329,Alcan Harbor
11330,Skoot Cove
11331,Massacre Bay
11332,Village Cove
11333,Port Moller
11334,Port Heiden
11335,Pilot Point
11336,Ugashik
11337,Egegik
11338,Naknek
11339,Koggiung
11340,Ekuk
11341,Clarks Point
11342,Dillingham
11343,Platinum
11344,Bethel
11345,Nash Harbor
11346,Kwiguk
11347,Kotlik
11348,Hamilton
11349,St Michael
11350,Unalakleet
11351,Solomon
11352,Nome
11353,Grantley Harbor
11354,Savoonga
11355,Shishmaref
11356,Deering
11357,Kotzebue
11358,Wainwright
11359,Barrow
11360,Prudhoe Bay
11361,Bernard Harbor
11362,Tuktoyaktuk
11363,Police Point
11364,Paulatuk
11365,Pearce Point
11366,Tysoe Point
11367,Sachs Harbor
11368,Cape Young
11369,Bernard Harbor
11370,Lady Franklin Point
11371,Coppermine
11372,Cambridge Bay
11373,Resolute Bay
11374,Barentsburg
11375,Longyearbyen
11376,Ny Alesund
11377,Kirkenes
11378,Vadso
11379,Batsfjorden
11380,Vardo
11381,Berlevag
11382,Kjollefjorden
11383,Honningsvag
11384,Kvalsund
11385,Hammerfest
11386,Sorvaer
11387,Bredvik
11388,Oksfjord
11389,Alta
11390,Talvik
11391,Tromso
11392,Gibostad
11393,Finnsnes
11394,Medby
11395,Sjovegan
11396,Harstad
11397,Andenes
11398,Sortland
11399,Stokkmarknes
11400,Reine
11401,Ballstad
11402,Stamsund
11403,Henningsvaer
11404,Svolvaer
